Date, Time, UpperLeft X (mm), UpperLeft Z (mm), UpperLeft Orientation (deg), UpperRight X (mm), UpperRight Z (mm), UpperRight Orientation (deg), LowerLeft X (mm), LowerLeft Z (mm), LowerLeft Orientation (deg), LowerRight X (mm), LowerRight Z (mm), LowerRight Orientation (deg), BarcodeReader X (mm), BarcodeReader Z (mm), BarcodeReader Orientation (deg), RackPickup X (mm), RackPickup Z (mm), RackPickup Orientation (deg), RackPlace X (mm), RackPlace Z (mm), RackPlace Orientation (deg), RackTrayOffset X (mm), RackTrayOffset Z (mm), RackTrayOffset Orientation (deg)
2025-11-13, 11:18:05, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -79.811, 116.079, 181.02, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:20:37, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -80.612, 116.28, 181.02, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:24:18, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -80.805, 113.179, 182.018, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:24:52, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -80.805, 113.179, 182.018, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:29:59, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -73.567, 113.209, 180.207, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:30:36, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -73.561, 117.098, 180.212, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:30:57, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -73.563, 117.894, 180.213, -80, 118.003, 180, 13.3, 0, 0
2025-11-13, 11:32:55, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -73.563, 117.894, 180.213, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:01:32, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.513, 13.83, 360.384, -84, 118, 180, -80.562, 117.895, 180.212, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:41:32, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.439, 15.192, 360.748, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:43:18, 224.738, 78.704, 360.952, 324.562, 76.917, 360.4, 226.639, 13.793, 360.548, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:44:26, 224.738, 77.804, 360.752, 324.562, 76.917, 360.4, 226.639, 13.793, 360.548, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:45:43, 224.738, 77.804, 360.752, 324.144, 75.892, 360.118, 226.639, 13.793, 360.548, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -80, 118.003, 180, 14.1, 0, 0
2025-11-13, 15:48:30, 224.738, 77.804, 360.752, 324.144, 75.892, 360.118, 226.639, 13.793, 360.548, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -76.007, 122.527, 178.326, 14.1, 0, 0
2025-11-13, 15:49:56, 224.738, 77.804, 360.752, 324.144, 75.892, 360.118, 226.639, 13.793, 360.548, 325.305, 12.774, 360.094, -69, 33, 180, -80.562, 117.895, 180.212, -76.406, 122.53, 178.325, 14.1, 0, 0
